train_no,train_name,source,destination,day_of_week,is_weekend,distance_km,weather,congestion,historical_avg_delay,technical_issue,signal_issue,delay_minutes
12723,Telangana Express,New Delhi,Delhi Junction,5,1,1365,Clear,Medium,18.3,0,0,32.0
22439,Vande Bharat Express,Vijayawada Jn,Bhopal Jn,1,0,1513,Clear,Low,27.4,0,0,22.1
12626,Kerala Express,Howrah Jn,Kanpur Central,6,1,1226,Fog,Medium,23.5,0,0,63.4
12841,Coromandel Express,Mughal Sarai,Patna Jn,3,0,652,Fog,High,4.7,0,0,75.3
12903,Golden Temple Mail,Bhopal Jn,Howrah Jn,2,0,690,Clear,Low,8.3,1,0,62.9
12903,Golden Temple Mail,Mumbai Central,Surat,0,0,1407,Light Rain,Low,23.4,0,0,34.0
12301,Howrah Rajdhani Express,Bhopal Jn,Ajmer Jn,3,0,1845,Clear,Low,43.9,0,0,45.2
12951,Mumbai Rajdhani Express,New Delhi,Surat,6,1,790,Storm,Low,32.0,0,0,62.6
12951,Mumbai Rajdhani Express,Surat,Nagpur Jn,0,0,1593,Fog,High,20.7,0,0,89.2
12471,Swaraj Express,Delhi Junction,Bhopal Jn,5,1,712,Light Rain,Low,21.3,0,0,31.1
12009,Shatabdi Express,Chennai Central,Surat,3,0,340,Light Rain,High,6.6,0,0,39.2
12301,Howrah Rajdhani Express,Howrah Jn,Mughal Sarai,1,0,2040,Light Rain,Low,25.9,0,0,33.2
12009,Shatabdi Express,Surat,Chennai Central,5,1,1227,Clear,Low,0.0,0,0,19.5
12009,Shatabdi Express,Chennai Central,Howrah Jn,6,1,1300,Clear,High,8.7,0,0,58.4
12723,Telangana Express,Mughal Sarai,Chennai Central,3,0,602,Clear,High,6.9,0,0,39.0
12301,Howrah Rajdhani Express,Mumbai Central,Vadodara Jn,3,0,1718,Light Rain,Low,43.6,1,0,62.7
12301,Howrah Rajdhani Express,Ajmer Jn,Nagpur Jn,4,0,1799,Clear,Low,28.8,0,0,33.9
22439,Vande Bharat Express,Lucknow NR,Mughal Sarai,0,0,1515,Light Rain,Low,10.9,0,1,66.0
12903,Golden Temple Mail,Surat,Lucknow NR,4,0,1388,Clear,Medium,39.8,1,0,102.4
12471,Swaraj Express,Lucknow NR,Vadodara Jn,5,1,1960,Storm,Medium,21.7,0,0,69.8
12841,Coromandel Express,Ajmer Jn,Nagpur Jn,6,1,1322,Storm,Medium,16.0,0,0,59.2
12009,Shatabdi Express,New Delhi,Kanpur Central,3,0,1018,Clear,Medium,22.1,0,0,42.7
12259,Sealdah Duronto Express,Mughal Sarai,Lucknow NR,0,0,838,Clear,Medium,16.6,0,0,40.3
12259,Sealdah Duronto Express,Delhi Junction,Mughal Sarai,1,0,1724,Clear,High,20.9,0,0,69.7
12723,Telangana Express,New Delhi,Bhopal Jn,1,0,1481,Light Rain,Low,0.0,0,0,38.3
12951,Mumbai Rajdhani Express,Chennai Central,New Delhi,6,1,2144,Light Rain,Low,22.4,0,0,36.2
12009,Shatabdi Express,Chennai Central,Kanpur Central,2,0,1294,Clear,Low,19.5,0,0,35.6
12841,Coromandel Express,Mughal Sarai,Kota Jn,6,1,1365,Clear,Medium,8.9,0,0,25.3
22439,Vande Bharat Express,Ajmer Jn,Howrah Jn,1,0,2125,Clear,Medium,0.0,1,0,75.7
12841,Coromandel Express,New Delhi,Vijayawada Jn,5,1,2171,Clear,High,24.3,0,0,68.8
12951,Mumbai Rajdhani Express,Surat,Nagpur Jn,3,0,1341,Clear,Low,10.8,0,0,25.7
12301,Howrah Rajdhani Express,Lucknow NR,Ajmer Jn,2,0,874,Heavy Rain,Medium,11.1,0,0,45.7
12009,Shatabdi Express,Kota Jn,Nagpur Jn,6,1,1352,Clear,High,7.5,0,0,52.2
